sim_t,benign_or_median,target_ctr,target_or_white,target_B,out_attacker,out_benign,out_other,n_out
6.0,0.0,0.0,0.0,9,0,7,5,12
131.6,0.0,0.0,0.0,21,0,7,5,12
198.3,0.0,0.0,0.0,20,0,7,5,12
263.0,0.0,0.0,0.0,19,0,8,4,12
327.7,0.0,0.0,0.0,18,0,8,4,12
392.4,0.0,0.0,0.0,17,0,9,3,12
457.1,0.0,0.0,0.0,16,0,9,3,12
521.8,0.0,0.0,0.0,15,0,9,3,12
586.5,0.0,0.0,0.0,14,0,10,2,12
651.2,0.0,0.0,0.0,14,0,10,2,12
715.9,0.0,0.0,0.0,13,0,10,2,12
780.6,0.0,0.0,0.0,13,0,9,3,12
845.3,0.0,0.0,0.0,12,0,9,3,12
910.0,0.0,0.0,0.0,11,0,9,3,12
974.7,0.0,0.0,0.0,10,0,10,2,12
1039.4,0.0,0.0,0.0,10,0,10,2,12
1104.1,0.0,0.0,0.0,9,0,10,2,12
1168.8,0.0,0.0,0.0,8,0,10,2,12
1233.5,0.0,0.0,0.0,7,0,10,2,12
1298.2,0.0,0.0,0.0,6,0,10,2,12
1362.9,0.0,0.0,0.0,5,0,10,2,12
1427.6,0.0,0.0,0.0,4,0,9,3,12
1492.3,0.0,0.0,0.0,3,0,10,2,12
1557.0,0.0,0.0,0.0,2,0,10,2,12
1621.7,0.0,0.0,0.0,2,0,10,2,12
1686.4,0.0,0.0,0.0,1,0,10,2,12
1751.1,0.0,0.0,0.0,0,0,10,2,12
1815.8,0.0,0.0,0.0,0,0,10,2,12
1880.5,0.0,0.0,0.0,0,0,10,2,12
1945.2,0.0,0.0,0.0,0,0,10,2,12
2009.9,0.0,0.0,0.0,0,0,10,2,12
2074.6,0.0,0.0,0.0,0,0,10,2,12
2139.3,0.0,0.0,0.0,0,0,10,2,12
2204.0,0.0,0.0,0.0,0,0,10,2,12
2268.7,0.0,0.0,0.0,0,0,10,2,12
2333.4,0.0,0.0,0.0,0,0,10,2,12
2398.1,0.0,0.0,0.0,0,0,10,2,12
2462.8,0.0,0.0,0.0,0,0,10,2,12
2527.6,0.0,0.0,0.0,0,0,10,2,12
2592.3,0.0,0.0,0.0,0,0,10,2,12
2657.0,0.0,0.0,0.0,0,0,10,2,12
2721.7,0.0,0.0,0.0,0,0,10,2,12
2786.4,0.0,0.0,0.0,0,0,10,2,12
2851.1,0.0,0.0,0.0,0,0,10,2,12
2915.8,0.0,0.0,0.0,0,0,10,2,12
2980.5,0.0,0.0,0.0,0,0,10,2,12
3045.2,0.0,0.0,0.0,0,0,10,2,12
3109.9,0.0,0.0,0.0,0,0,9,3,12
3174.6,0.0,0.0,0.0,0,0,9,3,12
3239.3,0.0,0.0,0.0,0,0,10,2,12
3304.0,0.0,0.0,0.0,0,0,10,2,12
3368.7,0.0,0.0,0.0,0,0,10,2,12
3433.4,0.0,0.0,0.0,0,0,10,2,12
3498.1,0.0,0.0,0.0,0,0,9,3,12
3562.8,0.0,0.0,0.0,0,0,9,3,12
3627.5,0.0,0.0,0.0,0,0,9,3,12
3692.2,0.0,0.0,0.0,0,0,9,3,12
3756.9,0.0,0.0,0.0,0,0,9,3,12
3821.6,0.0,0.0,0.0,0,0,9,3,12
3886.3,0.0,0.0,0.0,0,0,9,3,12
3951.0,0.0,0.0,0.0,0,0,9,3,12
4015.7,0.0,0.0,0.0,0,0,9,3,12
4080.4,0.0,0.0,0.0,0,0,9,3,12
4145.1,0.0,0.0,0.0,0,0,9,3,12
4209.8,0.0,0.0,0.0,0,0,9,3,12
4274.5,0.0,0.0,0.0,0,0,9,3,12
4339.2,0.0,0.0,0.0,0,0,9,3,12
4403.9,0.0,0.0,0.0,0,0,9,3,12
4468.6,0.0,0.0,0.0,0,0,9,3,12
4533.3,0.0,0.0,0.0,0,0,9,3,12
4598.0,0.0,0.0,0.0,0,0,9,3,12
4662.7,0.0,0.0,0.0,0,0,9,3,12
4727.4,0.0,0.0,0.0,0,0,9,3,12
4792.1,0.0,0.0,0.0,0,0,9,3,12
4856.8,0.0,0.0,0.0,0,0,9,3,12
4921.5,0.0,0.0,0.0,0,0,10,2,12
4986.2,0.0,0.0,0.0,0,0,10,2,12
5050.9,0.0,0.0,0.0,0,0,10,2,12
5115.6,0.0,0.0,0.0,0,0,10,2,12
5180.3,0.0,0.0,0.0,0,0,10,2,12
5245.0,0.0,0.0,0.0,0,0,10,2,12
5309.7,0.0,0.0,0.0,0,0,10,2,12
5374.4,0.0,0.0,0.0,0,0,10,2,12
