sim_t,benign_or_median,target_ctr,target_or_white,target_B,out_attacker,out_benign,out_other,n_out
6.0,0.0,0.0,0.0,2,0,6,6,12
136.6,0.0,0.0,0.0,2,0,6,6,12
198.7,0.0,0.0,0.0,1,0,5,7,12
260.8,0.0,0.0,0.0,1,0,5,7,12
322.9,0.0,0.0,0.0,0,0,5,7,12
385.0,0.0,0.0,0.0,0,0,6,6,12
447.1,0.0,0.0,0.0,0,0,6,6,12
509.2,0.0,0.0,0.0,0,0,6,6,12
571.3,0.0,0.0,0.0,0,0,6,6,12
633.4,0.46875,0.0,0.05263157894736842,0,0,6,6,12
695.5,0.6136363636363636,0.0,0.1,0,0,5,7,12
757.6,0.6530612244897959,0.0,0.14285714285714285,0,0,5,7,12
819.7,0.6666666666666666,0.0,0.18181818181818182,0,0,4,8,12
881.8,0.6792452830188679,0.0,0.21739130434782608,0,0,4,8,12
943.9,0.7017543859649122,0.0,0.25,0,0,4,8,12
1006.0,0.7166666666666667,0.08333333333333333,0.28,0,1,4,7,12
1068.1,0.734375,0.08333333333333333,0.3076923076923077,0,1,4,7,12
1130.2,0.7424242424242424,0.08333333333333333,0.3333333333333333,0,1,4,7,12
1192.3,0.746268656716418,0.08333333333333333,0.35714285714285715,0,1,4,7,12
1254.4,0.7571428571428571,0.08333333333333333,0.3793103448275862,0,1,4,7,12
1316.5,0.7638888888888888,0.16666666666666666,0.4,0,2,4,6,12
1378.6,0.7733333333333333,0.16666666666666666,0.41935483870967744,0,2,4,6,12
1440.7,0.782051282051282,0.16666666666666666,0.4375,0,2,4,6,12
1502.8,0.7901234567901234,0.16666666666666666,0.45454545454545453,0,2,4,6,12
1564.9,0.7976190476190477,0.16666666666666666,0.47058823529411764,0,2,4,6,12
1627.0,0.8023255813953488,0.16666666666666666,0.4857142857142857,0,2,4,6,12
1689.1,0.8089887640449438,0.25,0.5,0,3,3,6,12
1751.2,0.8111111111111111,0.25,0.5135135135135135,0,3,3,6,12
1813.3,0.8152173913043478,0.25,0.5263157894736842,0,3,2,7,12
1875.4,0.8191489361702128,0.25,0.5384615384615384,0,3,2,7,12
1937.5,0.8210526315789474,0.3333333333333333,0.55,0,4,1,7,12
1999.6,0.8247422680412371,0.4166666666666667,0.5609756097560976,0,5,1,6,12
2061.7,0.8282828282828283,0.4166666666666667,0.5714285714285714,0,5,1,6,12
