sim_t,benign_or_median,target_ctr,target_or_white,target_B,out_attacker,out_benign,out_other,n_out
6.0,1.0,0.0,0.0,0,0,0,0,0
91.7,0.5217391304347826,0.3333333333333333,0.38461538461538464,3,4,5,3,12
124.6,0.5384615384615384,0.3333333333333333,0.38461538461538464,3,4,5,3,12
157.0,0.52,0.3333333333333333,0.42857142857142855,3,4,5,3,12
189.4,0.5,0.4166666666666667,0.42857142857142855,3,5,5,2,12
221.8,0.5,0.4166666666666667,0.4666666666666667,3,5,5,2,12
254.2,0.5,0.4166666666666667,0.5,3,5,5,2,12
286.6,0.5172413793103449,0.4166666666666667,0.5,3,5,5,2,12
319.0,0.5161290322580645,0.4166666666666667,0.5294117647058824,3,5,5,2,12
351.4,0.5294117647058824,0.4166666666666667,0.5294117647058824,3,5,5,2,12
383.8,0.5294117647058824,0.4166666666666667,0.5,3,5,5,2,12
416.2,0.5294117647058824,0.4166666666666667,0.5,3,5,5,2,12
448.6,0.5294117647058824,0.4166666666666667,0.5263157894736842,3,5,5,2,12
481.0,0.5294117647058824,0.5,0.5263157894736842,3,6,4,2,12
513.4,0.5294117647058824,0.5,0.5,3,6,4,2,12
545.8,0.5294117647058824,0.5,0.5,3,6,4,2,12
578.2,0.5294117647058824,0.5,0.5238095238095238,3,6,4,2,12
610.6,0.5294117647058824,0.5,0.5238095238095238,3,6,4,2,12
643.0,0.5294117647058824,0.5,0.5454545454545454,3,6,4,2,12
675.4,0.5294117647058824,0.5,0.5454545454545454,3,6,4,2,12
707.8,0.5294117647058824,0.5,0.5652173913043478,3,6,4,2,12
740.2,0.5294117647058824,0.5,0.5416666666666666,2,6,4,2,12
772.6,0.5294117647058824,0.5,0.5416666666666666,2,6,3,3,12
805.0,0.5294117647058824,0.5,0.56,2,6,3,3,12
837.4,0.5294117647058824,0.5,0.56,2,6,3,3,12
869.8,0.5294117647058824,0.4166666666666667,0.5769230769230769,2,5,4,3,12
902.2,0.5294117647058824,0.4166666666666667,0.5769230769230769,2,5,4,3,12
934.6,0.5294117647058824,0.4166666666666667,0.5555555555555556,2,5,4,3,12
967.0,0.5294117647058824,0.4166666666666667,0.5555555555555556,2,5,4,3,12
999.4,0.5294117647058824,0.5,0.5357142857142857,2,6,3,3,12
1031.8,0.5294117647058824,0.5,0.5357142857142857,2,6,3,3,12
1064.2,0.5294117647058824,0.5,0.5517241379310345,2,6,3,3,12
1096.6,0.5294117647058824,0.5,0.5517241379310345,2,6,3,3,12
1129.0,0.5294117647058824,0.5,0.5666666666666667,2,6,3,3,12
1161.4,0.5294117647058824,0.5,0.5666666666666667,2,6,3,3,12
1193.8,0.5294117647058824,0.5,0.5483870967741935,2,6,3,3,12
1226.2,0.5294117647058824,0.5,0.5483870967741935,2,6,3,3,12
1258.6,0.5294117647058824,0.5,0.53125,2,6,3,3,12
1291.0,0.5294117647058824,0.5,0.5151515151515151,1,6,3,3,12
1323.4,0.5294117647058824,0.5,0.5151515151515151,1,6,3,3,12
1355.8,0.5294117647058824,0.5,0.5,0,6,3,3,12
1388.2,0.5294117647058824,0.5,0.5,0,6,3,3,12
1420.6,0.5294117647058824,0.5,0.5142857142857142,0,6,3,3,12
1453.0,0.5294117647058824,0.5,0.5142857142857142,0,6,3,3,12
