sim_t,benign_or_median,target_ctr,target_or_white,target_B,out_attacker,out_benign,out_other,n_out
6.0,1.0,0.0,,,0,0,0,0
165.1,0.88,0.0,,,0,0,0,0
315.6,0.8666666666666667,0.0,,,0,0,0,0
466.1,0.875,0.0,,,0,0,0,0
616.6,0.8918918918918919,0.0,,,0,0,0,0
767.2,0.9047619047619048,0.75,0.7692307692307693,1,9,1,2,12
798.8,0.9090909090909091,0.75,0.7857142857142857,1,9,1,2,12
829.7,0.9111111111111111,0.8333333333333334,0.8,1,10,1,1,12
860.6,0.9130434782608695,0.8333333333333334,0.8125,1,10,1,1,12
891.5,0.9130434782608695,0.8333333333333334,0.8125,1,10,1,1,12
922.4,0.9148936170212766,0.8333333333333334,0.8235294117647058,1,10,1,1,12
953.3,0.9166666666666666,0.8333333333333334,0.8333333333333334,1,10,1,1,12
984.2,0.9183673469387755,0.8333333333333334,0.8421052631578947,1,10,1,1,12
1015.1,0.9215686274509803,0.8333333333333334,0.8421052631578947,1,10,1,1,12
1046.0,0.9245283018867925,0.8333333333333334,0.8571428571428571,1,10,1,1,12
1076.9,0.9245283018867925,0.8333333333333334,0.8571428571428571,1,10,1,1,12
1107.8,0.9272727272727272,0.8333333333333334,0.8636363636363636,1,10,1,1,12
1138.7,0.9285714285714286,0.8333333333333334,0.8695652173913043,1,10,1,1,12
1169.6,0.9298245614035088,0.8333333333333334,0.875,1,10,1,1,12
1200.5,0.9310344827586207,0.8333333333333334,0.875,1,10,1,1,12
1231.4,0.9322033898305084,0.8333333333333334,0.8846153846153846,1,10,1,1,12
1262.3,0.9322033898305084,0.8333333333333334,0.8846153846153846,1,10,1,1,12
1293.2,0.9333333333333333,0.8333333333333334,0.8888888888888888,1,10,1,1,12
1324.1,0.9333333333333333,0.8333333333333334,0.8888888888888888,1,10,1,1,12
1355.0,0.9344262295081968,0.8333333333333334,0.896551724137931,1,10,1,1,12
1385.9,0.9354838709677419,0.8333333333333334,0.896551724137931,1,10,1,1,12
1416.8,0.9365079365079365,0.8333333333333334,0.9,1,10,1,1,12
1447.7,0.9365079365079365,0.8333333333333334,0.9032258064516129,1,10,1,1,12
1478.6,0.9384615384615385,0.8333333333333334,0.875,1,10,1,1,12
1509.5,0.9384615384615385,0.8333333333333334,0.875,1,10,1,1,12
1540.4,0.9393939393939394,0.8333333333333334,0.8823529411764706,1,10,1,1,12
1571.3,0.9393939393939394,0.8333333333333334,0.8823529411764706,1,10,1,1,12
1602.2,0.9264705882352942,0.8333333333333334,0.8857142857142857,1,10,1,1,12
1633.1,0.9264705882352942,0.8333333333333334,0.8888888888888888,1,10,1,1,12
1664.0,0.927536231884058,0.8333333333333334,0.8918918918918919,1,10,1,1,12
1694.9,0.927536231884058,0.8333333333333334,0.8918918918918919,1,10,1,1,12
1725.8,0.9305555555555556,0.8333333333333334,0.8947368421052632,1,10,1,1,12
1756.7,0.9305555555555556,0.9166666666666666,0.8974358974358975,1,11,1,0,12
1787.6,0.9315068493150684,0.9166666666666666,0.9,1,11,1,0,12
1818.5,0.9333333333333333,0.9166666666666666,0.9,1,11,1,0,12
1849.4,0.9333333333333333,1.0,0.9047619047619048,1,12,0,0,12
1880.3,0.9342105263157895,1.0,0.9047619047619048,1,12,0,0,12
1911.2,0.9342105263157895,1.0,0.9069767441860465,1,12,0,0,12
1942.1,0.9358974358974359,1.0,0.9090909090909091,1,12,0,0,12
1973.0,0.9358974358974359,1.0,0.9111111111111111,1,12,0,0,12
2003.9,0.9367088607594937,1.0,0.9111111111111111,1,12,0,0,12
2034.8,0.9375,1.0,0.9148936170212766,1,12,0,0,12
2065.7,0.9397590361445783,1.0,0.9148936170212766,1,12,0,0,12
2096.6,0.9397590361445783,1.0,0.9166666666666666,1,12,0,0,12
