sim_t,benign_or_median,target_ctr,target_or_white,target_B,out_attacker,out_benign,out_other,n_out
6.0,1.0,0.0,0.0,7,0,1,3,4
123.6,0.2857142857142857,0.0,0.0,13,0,6,6,12
192.6,0.08,0.0,0.0,10,0,6,6,12
492.6,0.0,0.0,0.05,9,0,6,6,12
635.8,0.2727272727272727,0.0,0.09523809523809523,9,0,5,7,12
934.4,0.6530612244897959,0.0,0.17391304347826086,9,0,5,7,12
1080.0,0.7142857142857143,0.25,0.2962962962962963,9,3,4,5,12
1378.6,0.7611940298507462,0.25,,,3,4,5,12
1644.3,0.8,0.25,0.45714285714285713,9,3,4,5,12
1883.8,0.8160919540229885,0.3333333333333333,,,4,3,5,12
2183.8,0.8252427184466019,0.4166666666666667,0.5681818181818182,9,5,2,5,12
2423.3,0.8532110091743119,0.4166666666666667,,,5,2,5,12
2723.4,0.856,0.5,0.6346153846153846,9,6,3,3,12
2962.9,0.8723404255319149,0.4166666666666667,,,5,4,3,12
3287.0,0.875,0.4166666666666667,0.6935483870967742,9,5,4,3,12
3526.5,0.8895705521472392,0.4166666666666667,,,5,4,3,12
3826.5,0.8941176470588236,0.5,0.7323943661971831,9,6,4,2,12
4066.0,0.8977272727272727,0.5,,,6,4,2,12
4366.1,0.90625,0.5,0.759493670886076,9,6,4,2,12
4605.6,0.9090909090909091,0.45454545454545453,,,5,4,2,11
4929.7,0.91324200913242,0.5833333333333334,0.7752808988764045,8,7,3,2,12
5169.2,0.915929203539823,0.6666666666666666,,,8,2,2,12
5469.2,0.9218106995884774,0.6666666666666666,0.7835051546391752,7,8,2,2,12
5708.7,0.9233870967741935,0.6666666666666666,,,8,2,2,12
6008.8,0.9246031746031746,0.6666666666666666,0.8018867924528302,7,8,2,2,12
6248.3,0.9288389513108615,0.6666666666666666,,,8,2,2,12
6572.4,0.931899641577061,0.6666666666666666,0.8173913043478261,7,8,2,2,12
6811.9,0.930921052631579,0.6666666666666666,,,8,2,2,12
7111.9,0.9335548172757475,0.6666666666666666,0.8306451612903226,7,8,2,2,12
7351.4,0.936231884057971,0.6666666666666666,,,8,2,2,12
7651.5,0.9388379204892966,0.6666666666666666,0.8421052631578947,7,8,2,2,12
7891.0,0.938953488372093,0.75,,,9,2,1,12
8215.1,0.940677966101695,0.75,0.852112676056338,7,9,2,1,12
8454.6,0.9429347826086957,0.6666666666666666,,,8,2,2,12
8754.6,0.9451697127937336,0.6666666666666666,0.8609271523178808,7,8,2,2,12
8994.1,0.9443037974683545,0.75,,,9,1,2,12
9294.2,0.9464720194647201,0.75,0.86875,7,9,1,2,12
9533.7,0.9467312348668281,0.75,,,9,1,2,12
9857.8,0.9473684210526315,0.75,0.8757396449704142,7,9,1,2,12
10097.3,0.9478260869565217,0.75,,,9,1,2,12
10397.3,0.9505376344086022,0.75,0.8820224719101124,7,9,1,2,12
